manufacturer_slice,match
sunguna,"['sunguna', 'suguna', 'sungura', 'sugun']"
okhes comp. ltd,['okhes comp. ltd']
bighive hardware limited,['bighive hardware limited']
bencos ventures,"['bencos ventures', 'benco ventures', 'bencon ventures', 'enos ventures', 'bencos ventures ltd']"
bonsy distillers ltd,"['bonsy distillers ltd', 'london distillers ltd', 'london distilers ltd']"
hangzhouyilong chemical co,"['hangzhouyilong chemical co', 'hangzhouyilong chemical', 'hangzhou yilong chemical']"
alps bio ltd,"['alps bio ltd', 'audis bio ltd', 'alps ltd', 'alps bioscince ltd', 'alps bio']"
mns laboratories,"['mns laboratories', 'msn laboratories', 'mylan laboratories', 'milan laboratories', 'zim laboratories']"
bestvet agro,"['bestvet agro', 'bestveta agro', 'bestvet agro.', 'best vet agro', 'vet agro']"
prime,"['prime', 'primer', 'primier', 'prism', 'primr']"
sustainable agro solutions,"['sustainable agro solutions', 'sustainable agrosolutions', 'sustainable agro-solutions', 'sustainable agro-solutions s.a,']"
hollafeed ltd,"['hollafeed ltd', 'holland ltd', 'hollafeed', 'hill feeds ltd', 'dola feeds ltd']"
bio science,"['bio science', 'bio- science', 'bio sciences', 'bioscience', 'sbioscience']"
hitech supplies,"['hitech supplies', 'high tech supplies', 'hitech farm supplies', 'hi-tech farm supplies', 'checheni supplies']"
crown labs,"['crown labs', 'zycon labs', 'micro labs']"
msn laboratories,"['msn laboratories', 'msn labaratories', 'mns laboratories', 'mylan laboratories', 'milan laboratories']"
latest trading co.,"['latest trading co.', 'latest trading', 'latest trading ltd.', 'latest trading ltd']"
ventri biologicals,"['ventri biologicals', 'ventri bilogicals', 'ventryls biologicals', 'kenya biologicals']"
city farming ltd,"['city farming ltd', 'city farming ltd.', 'city farming  ltd', 'city  farming ltd', 'city farmingltd']"
nk ltd,"['nk ltd', 'nk  ltd', 'nkltd', 'k ltd', 'unak ltd']"
sanga vet,"['sanga vet', 'sanga vets', 'sanga vet.', 'sangavet', 'sanagavet']"
spin knit ltd,['spin knit ltd']
alpha medical,"['alpha medical', 'alphamedical', 'alpha medics', 'alpha medical ltd', 'alha medical ltd']"
lacpharm ltd,"['lacpharm ltd', 'licpharm ltd', 'lic pharm ltd', 'delpharm ltd', 'pharma ltd']"
meru central ltd,"['meru central ltd', 'meru central', 'meru  central']"
agra feeds,"['agra feeds', 'agrafeeds', 'kagira feeds', 'agro feeds', 'agra-feeds']"
spare,"['spare', 'sparex', 'spares', 'sparkle', 'spark']"
centaur pharm,"['centaur pharm', 'ceuntar pharms', 'centuer pharma']"
gikomba,"['gikomba', 'gomba']"
lesere limited,"['lesere limited', 'lesere (k) limited', 'lesere ltd', 'rex limited', 'ea seeds limited']"
yaunzheng,['yaunzheng']
light venture ltd,"['light venture ltd', 'light ventures ltd', 'light ventures ltd.', 'lightventures ltd', 'light ventures td']"
antlantis ltd,"['antlantis ltd', 'atlantis ltd', 'atlanstis ltd', 'antlantis', 'antlantis life']"
kabansora millers,"['kabansora millers', 'kabansora millers ltd', 'dandora millers']"
sai feeds,"['sai feeds', 'tai feeds', 'psa feeds', 'sanjir feeds', 'taji feeds']"
lab&allied ltd,"['lab&allied ltd', 'lab&allied', 'allied ltd', 'laboratory&allied ltd']"
essar kenya,['essar kenya']
mzuri,"['mzuri', 'mazuri', 'zuri']"
savan seeds,"['savan seeds', 'savana seeds', 'savanna seeds', 'ava seeds', 'savannah seeds']"
seed co.,"['seed co.', 'seedco.', 'seed co', 'sweede co.', 'seedco co.']"
royal animal feeds,"['royal animal feeds', 'royal animal feed', 'total animal feeds', 'ram animal feeds', 'noy animal feeds']"
main town,"['main town', 'maintown', 'main town vet', 'main town ltd']"
amarshal uganda limited,"['amarshal uganda limited', 'amarshal uganda ltd', 'eram uganda limited']"
hoshin medical instrument,"['hoshin medical instrument', 'hoshin medical instruments', 'sunbow medical instruments', 'sumbow medical instrument']"
fedo ltd,"['fedo ltd', 'pendo ltd', 'femco ltd', 'fedo limited']"
i procure,"['i procure', 'i- procure', 'i pro cure', 'iprocure', 'i-procure']"
kays premium ltd,"['kays premium ltd', 'kays premium', 'kays premium feeds', 'premium ltd', 'kay premium']"
boston medical,"['boston medical', 'bsn medicals', 'bio medical']"
bellamax ltd,"['bellamax ltd', 'bella max ltd', 'bellmax ltd', 'bellamax lt', 'bellamax limited']"
miracle animal feed,"['miracle animal feed', 'embrace animal feeds', 'royal animal feed', 'mike animal feeds', 'midline animal feeds']"
adhi pharmacy,"['adhi pharmacy', 'adp pharmacy', 'saudi phamacy', 'high phamacy']"
cropchem,"['cropchem', 'crop chem', 'copchem', 'tropichem', 'prochem']"
solomar supplies,"['solomar supplies', 'solomar suppliers', 'solomar supplie', 'solomar supplier', 'solai farm supplies']"
altravetis,"['altravetis', 'altraveties', 'altrvetis', 'altravets', 'ultravetis']"
rainbow pharm,"['rainbow pharm', 'rainbow agro', 'acino pharma']"
golden bell,"['golden bell', 'golden bull', 'goldenbull', 'golden bul', 'gulden bull']"
farmers hub technologies,"['farmers hub technologies', 'farmers hub  technologies', 'farmer shub technologes', 'farmers hup technology']"
agrilords  ltd,"['agrilords  ltd', 'agrilords ltd', 'agriloads ltd', 'agri lord ltd', 'agrilords limited']"
similaw,"['similaw', 'simlaw', 'simlaws', 'similae', 'sim law']"
bayer company,"['bayer company', 'baraka company', 'kays company', 'brac company']"
shanxi henge,['shanxi henge']
tri-cover ltd,['tri-cover ltd']
gracure pharmaceutucal,"['gracure pharmaceutucal', 'africure pharmaceuticals', 'makcur pharmaceuticals', 'emcure pharmaceuticals']"
africure ltd,"['africure ltd', 'agricare ltd', 'arcare ltd', 'africa ltd', 'agri care ltd']"
surebake,['surebake']
green leaf feeds,"['green leaf feeds', 'greenville feeds']"
devan itd,"['devan itd', 'devan ltd', 'devani ltd', 'devain ltd', 'devanito']"
bio-sciences,"['bio-sciences', 'biosciences', 'bio-science', 'biosciencess', 'bioscciences']"
trust chemical,"['trust chemical', 'trust chemicals', 'trust. chemicals', 'itrust chemicald', 'trust chemicals u']"
eunice,"['eunice', 'unicef', 'gunice', 'nice']"
cenriva ltd,"['cenriva ltd', 'centriva ltd', 'cenriver ltd', 'niva ltd', 'ceva ltd']"
hightech pharmsceuticals,"['hightech pharmsceuticals', 'hightech pharmaceuticals', 'hightech pharmacheuticals', 'hightech pharmaceuticals&', 'hightech pharmaceauticals']"
bulemezi agro,"['bulemezi agro', 'bulemeezi agro', 'bulemezi agrovet', 'bulemezi agro vet', 'bulemeezi agrovet']"
siena feeds,"['siena feeds', 'sienna feeds', 'spenza feeds', 'sigona feeds', 'isinya feeds']"
kenafric bakeries ltd,['kenafric bakeries ltd']
kensalrise ltd,"['kensalrise ltd', 'kenstar ltd', 'kensaltrise', 'kensalt ltd', 'kenlife ltd']"
diri ltd,"['diri ltd', 'rai ltd']"
zhejiang biok biotechnology,['zhejiang biok biotechnology']
fredun pharma,"['fredun pharma', 'fredum pharma', 'reyoung pharma', 'bruno pharma']"
rebearth ltd,"['rebearth ltd', 'rebearth']"
kapland agrisolution,"['kapland agrisolution', 'kapland agrisolutions', 'kapland agri solution', 'kapland agrisolutions ltd', 'kaplant agrisolution lmd']"
greenpack holding,"['greenpack holding', 'greenpak holding', 'greenpark holding', 'greenpak holdings', 'greenpark holdings']"
bamsi,"['bamsi', 'bams', 'basic']"
dichorious ltd,['dichorious ltd']
rift flour mills,"['rift flour mills', 'kitui flour mills', 'imenti flour mills', 'kitui flour mill', 'kitui flour millers']"
made in india,"['made in india', 'made in lndia', 'made in indonesia', 'made in dibai', 'made in china']"
pharma life,"['pharma life', 'pharm life', 'pharmaline', 'pharma life ltd', 'pharmline']"
asence pharma,"['asence pharma', 'ascence pharma', 'asence pharma pr', 'janssen pharma', 'swede pharma']"
sanga vet.,"['sanga vet.', 'sanga vet', 'sanga vets', 'sangavet', 'sanagavet']"
sunfarm agrochicals,"['sunfarm agrochicals', 'sunfarm agro chemicals', 'sun farm agrochemicals', 'sanfarm agro chemicals', 'sunfarm agrochemicals ltd']"
any vet company,['any vet company']
simitimo,"['simitimo', 'sumitimo']"
farm inputs care,['farm inputs care']
crown paints ltd,"['crown paints ltd', 'crown paints', 'crown paint', 'crownplast ltd', 'champion paints ltd']"
tobacco,['tobacco']
chapameli ltd,"['chapameli ltd', 'chapameli', 'chapasolai ltd']"
global vet ltd,"['global vet ltd', 'global vet limited', 'global vet(u)ltd', 'global vet', 'balvet ltd']"
rai cement,"['rai cement', 'rhino cement', 'arm cement']"
eascol seeds,"['eascol seeds', 'nasco seeds', 'esco seed', 'neseco seeds', 'naseco seeds']"
nasseco,"['nasseco', 'naseco', 'nesseco', 'nasecco', 'nasceco']"
agrow allied ltd,"['agrow allied ltd', 'agro allied ltd', 'agro allied']"
snna india,['snna india']
mrf ltd,"['mrf ltd', 'mrm ltd', 'mfk ltd', 'dmf ltd', 'mark ltd']"
good life ltd,"['good life ltd', 'goodlife ltd', 'good life']"
facom uganda ltd,"['facom uganda ltd', 'facom uganda', 'eram uganda ltd', 'zagro uganda ltd', 'mtk uganda ltd']"
super smart ltd,"['super smart ltd', 'super max ltd']"
nova ltd,"['nova ltd', 'novax ltd', 'anova ltd', 'novixa ltd', 'novika ltd']"
synovet  lmtd,"['synovet  lmtd', 'synovet ltd', 'synovet ltd.', 'synovet limited', 'synovet& agro ltd']"
mola plus investments,"['mola plus investments', 'mola plus investment', 'molar plus investment', 'molaplus investment', 'molarplus investment']"
home harvest,"['home harvest', 'homeharvest', 'home harvester', 'home harvest ug', 'home harvest ug.']"
kilimambogo millers ltd,['kilimambogo millers ltd']
e.a seeds,"['e.a seeds', 'ea seeds', 'e. a seed', 'easeeds', 'ea seed']"
green world,"['green world', 'greenworld', 'green world ltd', 'ven world']"
green leaf,"['green leaf', 'green leaf.', 'greenleaf', 'green tea', 'the green leaf']"
agl ltd,"['agl ltd', 'agl ltd.', 'agl -ltd', 'agl  ltd', 'eagle ltd']"
amanta health care,"['amanta health care', 'amanta healthcare', 'rental health care', 'vita health care', 'beta health care']"
hydrotech s. solutions,"['hydrotech s. solutions', 'hygrotech solutions']"
similaw seeds,"['similaw seeds', 'similaw  seeds', 'simlaw seeds', 'similaw seed', 'simlaw seesds']"
primier feeds,"['primier feeds', 'premier feeds', 'prime feeds', 'premierfeeds', 'prim feeds']"
prisma foods ltd,"['prisma foods ltd', 'prisma holdings ltd']"
imwithia,"['imwithia', 'imwitha']"
bubayi products ltd,"['bubayi products ltd', 'bubayi products ltd.', 'bubayi product ltd', 'bubayi  product ltd', 'bubayi products']"
nutris,"['nutris', 'nutri', 'nutrix']"
hightech pharmaceuticals&research ltd,"['hightech pharmaceuticals&research ltd', 'hightech pharmaceutical&research ltd', 'hightech pharmaceuticals &research', 'hightech pharmaceuticals ltd', 'hightech pharmaceuticals ltd.']"
norbrook u.k,"['norbrook u.k', 'norbrook']"
similae,"['similae', 'similaw', 'smile']"
litmus co.ltd,"['litmus co.ltd', 'litmus ltd']"
bellcare ltd,"['bellcare ltd', 'bell care ltd', 'belcare ltd', 'bellcare   ltd', 'belacare ltd']"
omni agriculture ltd,"['omni agriculture ltd', 'omni agriculture ltd.', 'omni agriculture lmt', 'omni agricultural ltd', 'omni.agriculture.ltd']"
bulemeezi agro,"['bulemeezi agro', 'bulemezi agro', 'bulemeezi agrovet', 'bulemeezi agro-vet', 'bulemeezi agro vet']"
kenbreed ltd,"['kenbreed ltd', 'ken breed limited', 'kenbreed feeds ltd', 'kenbreed']"
ailyons ltd,"['ailyons ltd', 'nilon ltd', 'nails ltd', 'alcon ltd']"
hygtrotech,"['hygtrotech', 'hygrotech', 'hygro tech', 'hygrotec', 'hygotech']"
bayer crop sience,"['bayer crop sience', 'bayer crop science']"
jubahili,"['jubahili', 'jubaili', 'jumbaili', 'jubailli', 'juabaili']"
fuga feeds,"['fuga feeds', 'funga feeds', 'uga feeds', 'unga feeds', 'fugo feeds']"
biochemical,"['biochemical', 'biochemicals', 'bio chemicals', 'sinochemical', 'botachemical']"
semex,"['semex', 'setex', 'semix']"
centriva ltd,"['centriva ltd', 'cenriva ltd', 'cenriver ltd', 'ventri ltd', 'centre ltd']"
ngo'mbe feeds industries,"[""ngo'mbe feeds industries"", 'ngombe feeds industries', 'ngombe  feeds industries', ""ng'ombe feeds industries"", 'ngombe feed industries']"
alligator ltd,"['alligator ltd', 'alligetor ltd', 'alligator', 'alligator england']"
metro vet,"['metro vet', 'metrovet', 'metrovit', 'metrovex', 'metrivet']"
agriville limited,"['agriville limited', 'agriville ltd', 'agri limited', 'afrivet limited']"
medivet products ltd,"['medivet products ltd', 'medivet products limited', 'medivet products', 'movit products ltd', 'movits products ltd']"
rh divani,"['rh divani', 'rh devani', 'rh. devani', 'r.h devani', 'r h devani']"
afs ltd,"['afs ltd', 'fsa ltd', 'asl ltd', 'acs ltd', 'uavs ltd']"
botachem k limited,"['botachem k limited', 'botachem limited', 'butachem limited', 'botachem  ltd', 'botachem ltd']"
meditron,"['meditron', 'medron', 'medion']"
devanil,"['devanil', 'devani', 'devani lt', 'devyani', 'devani ltd']"
korn miller's enterprises,"[""korn miller's enterprises"", 'korn millers enterprises', 'korn miller enterprises', 'korn millers enterprices', 'winner millers enterprises']"
soy afric,"['soy afric', 'soyafric']"
gicheha farm ltd,"['gicheha farm ltd', 'gicheha farms ltd', 'gicheha  farms ltd', 'gicheha farm limited', 'gicheha farms limited']"
afriseed,"['afriseed', 'afriseeds', 'safariseed', 'safariseeds', 'safari seed']"
super,"['super', 'superos', 'super &', 'sulpher', 'supen']"
fugo unga ltd,"['fugo unga ltd', 'fugo unga ltd.', 'fugo (unga) ltd', 'fugo(unga ltd)', 'fugo unga']"
baoye chem,"['baoye chem', 'baynoe chem', 'baoye chemical', 'baychem']"
mmm ltd,"['mmm ltd', 'mrm ltd', 'mmcs ltd', 'mama ltd']"
mmcs ltd,"['mmcs ltd', 'mc ltd', 'm.m.c.s ltd', 'msd ltd', 'mrm ltd']"
brac( u)limited,['brac( u)limited']
best agro-concepts ltd,"['best agro-concepts ltd', 'bestvet agro-concepts ltd', 'bestvet  agro-concepts ltd', 'bestvet agro-concept ltd', 'bestvet agro-concepts']"
square pharms,"['square pharms', 'square pharma', 'squarepharm', 'square phama']"
neta,"['neta', 'net', 'netmax', 'nestar']"
mumias sugar,['mumias sugar']
afrivet bioscience.,"['afrivet bioscience.', 'afrivet bioscience', 'afrivet bio science']"
farmers centre,"['farmers centre', 'farmer centre', 'farmers centrr', 'farmers center', 'famers center']"
east africa solutions,"['east africa solutions', 'enstar solutions']"
ambix,"['ambix', 'gabix', 'anmix']"
"jiangsu huifrng agrochemical,co.,ltd","['jiangsu huifrng agrochemical,co.,ltd']"
sanjir feeds,"['sanjir feeds', 'sanjiri feeds', 'sanjirfeed', 'sai feeds', 'taji feeds']"
dekalb seeds,"['dekalb seeds', 'delkalb seeds', 'dekalb seed', 'deal but seeds', 'dekals feeds']"
polyfoam ltd.,"['polyfoam ltd.', 'polyfoam ltd']"
lukenya,"['lukenya', 'kenya']"
laleham health ltd,"['laleham health ltd', 'laleham health', 'laheham health']"
prim feeds,"['prim feeds', 'prime feeds', 'primier feeds', 'premium feeds', 'prime seeds']"
mtk(u)limited,"['mtk(u)limited', 'mtk (u) limited']"
syner,"['syner', 'synner', 'syner -', 'synec']"
menengai hsrdware,"['menengai hsrdware', 'menengai hardware']"
lg horns &,['lg horns &']
agreval e.a ltd,"['agreval e.a ltd', 'agreval ltd', 'agreval e.a', 'agreval ltd.', 'agreval east']"
starling seeds,"['starling seeds', 'starlling seeds', 'starling seed', 'stirling seeds', 'sterling seeds']"
dhahabu chemical,['dhahabu chemical']
agriloads ltd,"['agriloads ltd', 'agrilords ltd', 'agrilords  ltd', 'agri lord ltd', 'agrilords limited']"
dabur,['dabur']
maritati,['maritati']
maruithi,"['maruithi', 'maruthi', 'maruti']"
acme formulation,['acme formulation']
safaribeverages,['safaribeverages']
pestgon limtd,"['pestgon limtd', 'pestgon limited', 'pestgon ltd']"
phatmakera ltd,['phatmakera ltd']
sisal industry,"['sisal industry', 'kitale industry', 'agl  industry', 'suprima industry', 'pi industry']"
mistwine,['mistwine']
ciira agrovet supplies,"['ciira agrovet supplies', 'barasam agrovet supplies']"
spenzer feeds,"['spenzer feeds', 'spenza feeds', 'super feeds', 'ebenezer feeds', 'super feeds,']"
ramji haribhal,"['ramji haribhal', 'ramji haribhai']"
falcon limited,"['falcon limited', 'halcom limited', 'falcon ltd', 'jaico limited', 'crown limited']"
toshiba,"['toshiba', 'tosha']"
alfa feeds,"['alfa feeds', 'alfa feed', 'afya feeds', 'alfamix feeds', 'alpha feeds']"
meru highlands dairy,['meru highlands dairy']
torrent pharm,"['torrent pharm', 'torrent pharma', 'torrent pharma ltd', 'torque pharm']"
syner med pharmaceuticals,"['syner med pharmaceuticals', 'syner_med pharmaceuticals', 'syner-med pharmaceuticals ltd', 'synet-med pharmaceuticals ltd', 'promed pharmaceuticals']"
nasecco,"['nasecco', 'naseco', 'nasseco', 'nasceco', 'naseo']"
sunrise ltd,"['sunrise ltd', 'suprime ltd', 'siase ltd']"
valencia cosmetics ltd,"['valencia cosmetics ltd', 'valencia cosmetics', 'valencia cosmetic', 'nia cosmetics ltd', 'angle cosmetics ltd']"
adan ug ltd,"['adan ug ltd', 'adan u ltd', 'adana u ltd', 'adan ug.ltd', 'adan (u) ltd']"
toyota tsusho,"['toyota tsusho', 'toyota tshusho', 'toyotatsusho', 'toyota shusho', 'toyota tsusho ltd']"
revital hekth care,"['revital hekth care', 'revital heakth care', 'revital health care', 'revital healthcare', 'rivital health care']"
unique,"['unique', 'uniq']"
ava viti,"['ava viti', 'ava vet']"
eram u ltd.,"['eram u ltd.', 'eram u ltd', 'eram ug ltd', 'eram u ltds', 'eram u  ltd']"
kianda agro supplies,"['kianda agro supplies', 'okoa agro supplies', 'anicare agro supplies', 'agrarian agro supplies']"
finstern agro enterprices,['finstern agro enterprices']
